Subject	TrialId	bin	pupil_change
1240	16	150	0.05230885483870984
1240	16	200	NA
1240	16	250	NA
1240	16	300	0.07442018817204314
1240	16	350	0.08526152150537647
1240	16	400	0.10698118817204327
1240	16	450	0.1348513548387098
1240	16	500	0.14288768817204325
1240	16	550	0.1753658548387098
1240	16	600	0.21488268817204328
1240	16	650	0.25359318817204324
1240	16	700	0.2482158548387098
1240	16	750	0.23638468817204314
1240	16	800	0.22549102150537662
1240	16	850	0.1849618548387099
1240	16	900	0.0716626048387099
1240	16	950	NA
1240	16	1e3	NA
1240	16	1050	0.12758860483870982
1240	16	1100	0.2172823548387098
1240	16	1150	0.23826852150537658
1240	17	-200	-0.007697366666666723
1240	17	-150	0.01934013333333347
1240	17	-100	0.024013299999999942
1240	17	-50	-0.0085163666666667
1240	17	0	-0.02713970000000006
1240	17	50	-0.07900420000000004
1240	17	100	-0.15406903333333336
1240	17	150	-0.2035410333333334
1240	17	200	-0.23231353333333335
1240	17	250	-0.24844653333333336
1240	17	300	-0.30109420000000003
1240	17	350	-0.2984362
1240	17	400	-0.30548953333333334
1240	17	450	-0.26417236666666666
1240	17	500	-0.21079286666666666
1240	17	550	-0.18748270000000003
1240	17	600	-0.13274986666666666
1240	17	650	-0.11779870000000003
1240	17	700	-0.11992003333333338
1240	17	750	-0.21042053333333333
1240	17	800	-0.2509220333333333
1240	17	850	-0.2160822
1240	17	900	-0.2400827
1240	17	950	-0.22368970000000013
1240	17	1e3	-0.26181295000000004
1240	17	1050	NA
1240	17	1100	NA
1240	17	1150	-0.14973120000000006
1240	18	-200	0.010569499999999898
1240	18	-150	0.013902999999999851
1240	18	-100	-0.036254000000000085
1240	18	-50	-0.0037806666666668023
1240	18	0	0.015562166666666544
1240	18	50	0.016352499999999843
1240	18	100	-1.671666666667182e-4
1240	18	150	-0.02292016666666674
1240	18	200	-0.027640333333333416
1240	18	250	0.008817642857142705
1240	18	300	0.0095109999999999
1240	18	350	0.006216833333333153
1240	18	400	0.011539333333333271
1240	18	450	0.03310416666666657
1240	18	500	0.0815724999999999
1240	18	550	0.13267366666666658
1240	18	600	0.15324816666666652
1240	18	650	0.16981199999999994
1240	18	700	0.11087033333333325
1240	18	750	0.07421516666666654
1240	18	800	0.020535166666666587
1240	18	850	0.013215999999999894
1240	18	900	-0.015499700000000161
1240	18	950	NA
1240	18	1e3	-0.11262250000000007
1240	18	1050	0.06447166666666655
1240	18	1100	0.08569983333333327
1240	18	1150	0.09573149999999986
1240	19	-200	-0.010154533333333418
1240	19	-150	-0.025344366666666767
1240	19	-100	-0.0032488666666667942
1240	19	-50	0.005322799999999776
1240	19	0	0.033424966666666465
1240	19	50	0.056492799999999864
1240	19	100	0.10174146666666657
1240	19	150	0.15579246666666643
1240	19	200	0.18236229999999978
1240	19	250	0.15582196666666648
1240	19	300	0.17719679999999993
1240	19	350	0.1718662999999998
1240	19	400	0.20387429999999984
1240	19	450	0.14080563333333318
1240	19	500	0.17281513333333312
1240	19	550	0.16325946666666646
1240	19	600	0.16769463333333312
1240	19	650	0.18620246666666648
1240	19	700	0.19513329999999987
1240	19	750	0.18164746666666653
1240	19	800	0.1236205619047618
1240	19	850	0.1139584666666665
1240	19	900	0.10525433333333316
1240	19	950	-0.11369986666666687
1240	19	1e3	NA
1240	19	1050	0.14544863333333313
1240	19	1100	0.1992441333333332
1240	19	1150	0.18148629999999985
1240	20	-200	-0.02553838709677438
1240	20	-150	0.0069171129032257195
1240	20	-100	0.02006361290322567
1240	20	-50	0.020180279569892285
1240	20	0	-0.017366220430107715
1240	20	50	-0.013657053763440915
1240	20	100	-0.02335455376344105
1240	20	150	-0.06745188709677426
1240	20	200	-0.07869755376344105
1240	20	250	-0.09577722043010765
1240	20	300	-0.12421355376344101
1240	20	350	-0.09897155376344102
1240	20	400	-0.07918388709677426
1240	20	450	-0.1056022204301077
1240	20	500	-0.05004255376344102
1240	20	550	-0.08700072043010769
1240	20	600	-0.06247772043010776
1240	20	650	-0.07947405376344108
1240	20	700	-0.05127938709677434
1240	20	750	-0.09517405376344097
1240	20	800	-0.10605188709677431
1240	20	850	-0.10134022043010764
1240	20	900	-0.1309668870967744
1240	20	950	NA
1240	20	1e3	-0.22060422043010766
1240	20	1050	-0.10039222043010769
1240	20	1100	-0.10186672043010765
1240	20	1150	-0.08679922043010764
1240	21	-200	-0.029870221198156837
1240	21	-150	-0.006125102150537816
1240	21	-100	0.008077564516128843
1240	21	-50	0.01074256451612876
1240	21	0	0.022153564516128894
1240	21	50	0.05547873118279556
1240	21	100	0.07585939784946216
1240	21	150	0.09558123118279556
1240	21	200	0.08924906451612886
1240	21	250	0.13828339784946211
1240	21	300	0.1590368978494622
1240	21	350	0.13631339784946225
1240	21	400	0.18198906451612892
1240	21	450	0.24482223118279559
1240	21	500	0.2512578978494622
1240	21	550	0.30551056451612896
1240	21	600	0.32256473118279566
1240	21	650	0.31427456451612884
1240	21	700	0.2747378978494622
1240	21	750	0.2609432311827955
1240	21	800	0.2185180645161288
1240	21	850	0.2047948145161288
1240	21	900	NA
1240	21	950	NA
1240	21	1e3	0.10934006451612888
1240	21	1050	0.19557306451612888
1240	21	1100	0.16767906451612888
1240	21	1150	0.15801223118279548
1240	22	-200	NA
1240	22	-150	-0.27508423809523785
1240	22	-100	0.03823276190476207
1240	22	-50	0.05214642857142874
1240	22	0	0.047162928571428786
1240	22	50	0.04980426190476206
1240	22	100	0.06045409523809542
1240	22	150	0.0919372619047621
1240	22	200	0.05757859523809546
1240	22	250	0.045476928571428855
1240	22	300	0.027748761904762127
1240	22	350	0.03481076190476218
1240	22	400	0.014955095238095462
1240	22	450	0.038411761904762066
1240	22	500	0.012672261904762117
1240	22	550	0.01864792857142879
1240	22	600	0.0268350952380955
1240	22	650	0.04127376190476199
1240	22	700	0.02614709523809548
1240	22	750	0.031611095238095466
1240	22	800	0.019318928571428806
1240	22	850	-0.08365740476190446
1240	22	900	-0.08221757142857133
1240	22	950	-0.11355157142857115
1240	22	1e3	-0.09744857142857133
1240	22	1050	-0.08004490476190466
1240	22	1100	NA
1240	22	1150	NA
1240	23	-200	0.03104368663594486
1240	23	-150	0.004082258064516194
1240	23	-100	-0.02160157526881708
1240	23	-50	0.0010897580645162404
1240	23	0	-0.019788075268816947
1240	23	50	-0.07452574193548374
1240	23	100	-0.12170374193548376
1240	23	150	-0.14952907526881712
1240	23	200	-0.20566807526881706
1240	23	250	-0.1886762419354838
1240	23	300	-0.24131374193548374
1240	23	350	-0.22117840860215035
1240	23	400	-0.2524979086021503
1240	23	450	-0.21431040860215048
1240	23	500	-0.20493090860215046
1240	23	550	-0.22690007526881706
1240	23	600	-0.2092330752688171
1240	23	650	-0.22345974193548387
1240	23	700	-0.1795979086021504
1240	23	750	-0.21400257526881705
1240	23	800	-0.20830674193548368
1240	23	850	-0.20693490860215036
1240	23	900	-0.21175174193548366
1240	23	950	-0.1911492419354838
1240	23	1e3	-0.1936270752688171
1240	23	1050	-0.16153607526881708
1240	23	1100	-0.20189257526881707
1240	23	1150	-0.18094107526881698
1240	24	-200	0.04794494470046067
1240	24	-150	-0.002059150537634465
1240	24	-100	-0.004116317204301205
1240	24	-50	-0.0223719838709678
